Name,SFR_NUV_Msun_per_yr,SFR_FUV_Msun_per_yr,SFR_Halpha_Msun_per_yr
 ,,,
---------------------------,,,
Arp104_1_sbt_disk_1_0      ,,,15.66707299568195
Arp104_10_sbt_disk_1_0     ,,,11.563791973003344
Arp104_2_sbt_disk_1_0      ,,,14.921021900649475
Arp104_3_sbt_disk_1_0      ,,,253.6573723110411
Arp104_4_sbt_disk_1_0      ,,,197.70354018360555
Arp104_5_sbt_disk_1_0      ,,,30.215069348815188
Arp104_6_sbt_disk_1_0      ,,,126.82868615552054
Arp104_7_sbt_disk_1_0      ,,,12.309843068035818
Arp104_8_sbt_disk_1_0      ,,,843.0377373866954
Arp104_9_sbt_disk_1_0      ,,,395.4070803672111
Arp120_10_sbt_disk_1_0     ,0.036176695826392866,0.016236784740979476,
Arp120_11_sbt_disk_1_0     ,0.021743998278855554,0.008925484009661231,231.27583946006686
Arp120_12_sbt_disk_1_0     ,0.08070916391714944,0.047001218987045845,41.032810226786054
Arp120_4_sbt_disk_1_0      ,0.0014242793632438134,0.007691108561516593,34.31835037149379
Arp120_5_sbt_disk_1_0      ,0.01794591997687205,0.018515631722169575,
Arp120_6_sbt_disk_1_0      ,0.016616592571177827,0.009210339882309996,41.032810226786054
Arp120_7_sbt_disk_1_0      ,0.07273319948298408,0.055926702996707066,343.18350371493796
Arp120_8_sbt_disk_1_0      ,0.055736799081607905,0.04177886132181853,205.16405113393031
Arp202_1_sbt_disk_1_0      ,0.21269238491107614,0.17091352358925763,
Arp202_2_sbt_disk_1_0      ,0.389303025953309,0.4462742004830615,
Arp202_3_sbt_disk_1_0      ,0.6646637028471131,0.6836540943570305,
Arp205_1_sbt_disk_1_0      ,1.1394234905950509,,4729.963942505883
Arp205_2_sbt_disk_1_0      ,0.5003968162863265,,4379.319927840622
Arp205_3_sbt_disk_1_0      ,0.010444715330454633,,44.76306570194843
Arp244_1_sbt_disk_1_0      ,1.0254811415355456,0.5317309622776905,29763.708436320543
Arp244_10_sbt_disk_1_0     ,3.9215158467979663,2.9055299010173794,15734.217594234873
Arp244_11_sbt_disk_1_0     ,2.3548085472297715,1.8515631722169574,7576.148870054771
Arp244_2_sbt_disk_1_0      ,1.1204330990851332,0.7121396816219068,24671.909712723907
Arp244_3_sbt_disk_1_0      ,0.30384626415868027,0.19939911085413387,333.85786502703206
Arp244_4_sbt_disk_1_0      ,2.174399827885555,1.7376208231574524,11690.620659158865
Arp244_5_sbt_disk_1_0      ,0.31239194033814316,0.20984382618458852,88.03402921383191
Arp244_6_sbt_disk_1_0      ,0.9305291839859581,0.6551685070921541,4386.780438790946
Arp244_7_sbt_disk_1_0      ,0.626682919827278,0.427283808973144,2562.6855114365476
Arp244_8_sbt_disk_1_0      ,0.8830532052111643,0.6551685070921541,3047.6187232076554
Arp244_9_sbt_disk_1_0      ,1.5097361250384425,0.8640628137012468,6162.3820449682335
Arp245_1_sbt_disk_1_0      ,0.020889430660909265,0.012343754481446381,
Arp245_2_sbt_disk_1_0      ,0.007406252688867829,0.0056971174529752535,14.54799635313324
Arp245_3_sbt_disk_1_0      ,0.004557693962380203,0.011774042736148856,8.579587592873448
